objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Unlock!: Escape Adventures – Fifth Avenue","229632","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","94107471","5.77892","6.73443","1.5625","5035","857","thing","Unlock!: Escape Adventures – Fifth Avenue","1","6","30","30","30","2017","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Exotic Adventures","254226","6","2","0","0","0","0","0","0","1","0","0","3","","Sold to James","","","","75587920","6.40522","7.26246","2.2","1566","6233","thing","Unlock!: Exotic Adventures","1","6","90","90","60","2018","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Game Adventures","350636","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","94107557","6.5386","7.84111","2.36","1225","4606","thing","Unlock!: Game Adventures","1","6","60","60","30","2021","1,2,3","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Heroic Adventures","266121","8","1","0","0","0","0","0","0","1","0","0","1","","Sold on Seattle Area Board Games For Sale","","","","79060377","6.82452","7.57312","2.24","721","8855","thing","Unlock!: Heroic Adventures","1","6","60","60","60","2018","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Legendary Adventures","330084","0","2","0","1","0","0","0","0","0","0","0","1","","","","","","79060426","6.22947","7.47492","2.2353","2111","3608","thing","Unlock!: Legendary Adventures","1","6","60","60","60","2021","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Mystery Adventures","228867","8","0","0","0","0","0","0","0","1","0","0","1","","Lost","","","","79815001","6.63944","7.30413","2.102","1026","8545","thing","Unlock!: Mystery Adventures","1","6","75","75","45","2017","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Mythic Adventures","302425","7","0","0","0","0","0","0","0","1","0","0","1","","","","","","79060422","6.49222","7.64978","2.1739","1344","5256","thing","Unlock!: Mythic Adventures","1","6","60","60","60","2020","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Secret Adventures – A Noside Story","245352","7","1","0","0","0","0","0","0","1","0","0","1","","Sold to James","","","","72478439","6.06176","6.99687","2.4783","2846","1989","thing","Unlock!: Secret Adventures – A Noside Story","1","6","60","60","60","2018","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Secret Adventures – The Adventurers of Oz","245354","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","73577371","6.2374","7.32335","2.8571","2083","2504","thing","Unlock!: Secret Adventures – The Adventurers of Oz","1","6","60","60","60","2018","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Secret Adventures – Tombstone Express","245353","0","0","0","0","0","1","0","1","0","0","0","3","","","","","","89713023","5.92625","6.65582","2.1333","3653","2063","thing","Unlock!: Secret Adventures – Tombstone Express","1","6","60","60","60","2018","1,2,3,4","2,3","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: The Escape Room Game – In Pursuit of the Iron Mask","303418","0","1","0","1","0","0","0","0","0","0","0","3","","Little Shop of Magic Mystery Bag Dice Tower West 2026","","","","143628839","5.62959","6.50137","1.5556","8120","1028","thing","Unlock!: The Escape Room Game – In Pursuit of the Iron Mask","1","6","60","60","60","2020","1,2,3,4","2,3","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: The Ghost Stone","350760","0","0","0","1","0","0","0","0","0","0","0","3","","Little Shop of Magic Mystery Bag Dice Tower West 2026","","","","143628858","5.54743","6.28179","1.25","13597","357","thing","Unlock!: The Ghost Stone","1","6","30","0","30","2021","1,2,3,4","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Timeless Adventures","279613","8","1","0","0","0","0","0","0","1","0","0","1","","Sold to James","","","","70848885","6.75512","7.71544","2.0667","817","6714","thing","Unlock!: Timeless Adventures","1","6","90","90","60","2019","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Battle of Legends, Volume One","274637","0","0","0","0","0","0","0","0","0","0","0","4","","","","","","75593645","7.20965","7.67659","1.9412","295","21566","thing","Unmatched: Battle of Legends, Volume One","2","4","40","40","20","2019","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Cobble & Fog","294484","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","75593687","7.37316","7.92422","1.966","190","22210","thing","Unmatched: Cobble & Fog","2","4","40","40","20","2020","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"UNO","2223","0","0","0","1","0","0","0","0","1","0","0","1","","","","","","56643707","5.35279","5.48179","1.1002","30428","73454","thing","UNO","2","10","30","30","30","1971","3,4,5,6,7,8","4,5,6","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Unsettled","290484","0","0","0","0","0","1","0","1","0","0","1","3","","","","","","144735464","7.02619","8.05963","3.2846","470","10504","thing","Unsettled","2","4","90","90","60","2021","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unsolved Case Files: Avery & Zoey Gardner","342283","8","1","0","0","0","0","0","0","1","0","0","3","","","","","","102324853","5.5315","7.16296","2","16260","228","thing","Unsolved Case Files: Avery & Zoey Gardner","1","8","180","180","180","2021","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Unsolved Case Files: Harmony Ashcroft","313467","8","0","0","0","0","0","0","0","1","0","0","1","","Sold to Ben for $15","","","","94107303","5.61715","6.78304","1.6667","8584","737","thing","Unsolved Case Files: Harmony Ashcroft","1","8","120","120","30","2020","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","28","USD","","","2022-05-13","Amazon","1","Sold to Ben for $15","","","","","",""
"Unsolved Case Files: Jamie Banks","342257","6","0","0","0","0","0","0","0","1","0","0","1","","","","","","103020798","5.54104","6.54866","1.6667","14475","398","thing","Unsolved Case Files: Jamie Banks","1","4","360","360","120","2019","1,2,3,4","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unsolved Case Files: Jane Doe","342280","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132508729","0","6.05704","0","0","126","thing","Unsolved Case Files: Jane Doe","1","8","180","180","180","2020","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Unsolved Case Files: Max Cahill","342279","6","0","0","0","0","0","0","0","1","0","0","3","","Traded for Avery & Zoey Gardner Case on Facebook","","","","102324863","0","5.91667","0","0","74","thing","Unsolved Case Files: Max Cahill","1","8","180","180","180","2021","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Unsolved Case Files: Sandra Ivey","392427","5","0","0","0","0","0","0","0","1","0","0","3","","","","","","132508691","0","7.66","0","0","81","thing","Unsolved Case Files: Sandra Ivey","1","8","180","180","180","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Unsolved Case Files: ​Veronica Falcone","342282","6","1","0","0","0","0","0","0","1","0","0","3","","","","","","101292356","0","7.01923","0","0","89","thing","Unsolved Case Files: ​Veronica Falcone","1","8","180","180","180","2021","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Until Proven Guilty: The Starry Sky Necklace","422181","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","129760639","5.5318","6.32826","2","16197","251","thing","Until Proven Guilty: The Starry Sky Necklace","1","6","90","90","75","2024","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Upwords","1515","0","0","0","0","0","0","0","0","1","0","0","1","","Left at Patrice","","","","56643662","5.63059","5.77167","1.6681","8083","8871","thing","Upwords","2","4","90","90","90","1982","2,3,4","2","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Vagrantsong","340325","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","134447901","6.4889","7.42482","3.1981","1353","7327","thing","Vagrantsong","2","4","120","120","45","2022","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Vantage","420033","6","5","0","1","0","0","0","0","0","0","0","3","","","","","","136215846","7.34344","8.22496","2.3373","213","13131","thing","Vantage","1","6","180","180","120","2025","1,2,3","1,2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Vienna Connection","299255","8","2","0","1","0","0","0","0","0","0","0","1","","","","","","70522555","5.9876","7.1504","2.1724","3247","3771","thing","Vienna Connection","1","5","180","180","120","2021","1,2,3","2","16+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture","128621","5","0","0","0","0","0","0","0","0","0","0","3","","","","","","47959353","7.18205","7.47349","2.9527","319","13170","thing","Viticulture","2","6","90","90","90","2013","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vye: The Card Game of Capture and Control","142239","4","0","0","0","0","0","0","0","1","0","0","3","","Selling to Ben for $5
","","","","68466987","5.71801","6.70193","1.6176","5943","1210","thing","Vye: The Card Game of Capture and Control","2","5","20","20","20","2013","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"War Story: Occupied France","408381","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","129721142","5.91242","7.95525","2.0625","3756","1566","thing","War Story: Occupied France","1","6","60","60","45","2024","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Waste Knights","174260","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","137286788","5.58931","6.47283","3.6087","9972","603","thing","Waste Knights","2","4","240","240","90","2015","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Waste Knights: Second Edition","247585","0","0","0","0","0","0","1","0","0","0","0","1","","","","","","137286795","6.12752","7.50109","2.962","2520","3385","thing","Waste Knights: Second Edition","1","4","180","180","90","2021","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Watson & Holmes","182694","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","71798767","6.41132","7.23682","2.1552","1541","5709","thing","Watson & Holmes","2","7","75","75","45","2015","3,4,5,6,7","4,5","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Watson & Holmes: The lost diaries","346142","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","94082822","0","9.8","0","0","1","thing","Watson & Holmes: The lost diaries","1","7","90","90","45","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Weed!","9227","4","0","0","0","0","0","0","0","1","0","0","1","","NK $5 Credit","","","","3493866","5.48864","5.3719","1.0769","27982","273","thing","Weed!","2","4","20","20","20","2002","3,4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
